Year,Month,Day,Date,Site,Bed_Stability,Collectors,SampleTime_Water,Vial#_Turbidity,Turbidity_NTU,Standard_NTU,SwinexID,SwinexID2,Sample_ID,AvgCorrConcentration_ug.L,BeufortWindScale,AirTemp_F,Rain,CurrentStrength,CurrentDirection,FisherPen_Temp,FisherPen_Salinity,Depth_YSI,Temp_C,DO_mg/L,DO_%,Depth_PAR,PPFD,BottomDepth_ft,VegDepth_ft,Secchidepth_ft,HOBOtime_start,HOBOtime_end,ForelUleColorCategory,Notes,Notes
2021,12,4,12/4/2021,1,Transitional,"MW, DB, AJ",9:12:00 AM,N,0.59,0.0,01,,1001,0.48,NA,NA,0,NA,out,NA,NA,9.0,16.4,8.47,103.3,NA,NA,9.9,9.9,4.0,NA,NA,2,PAR sensor setup incorectly,"Calm,some organic debris, bubbles"
2021,12,4,12/4/2021,2,Transitional,"MW, DB, AJ",10:08:00 AM,O,0.32,0.0,02,,1002,0.41,NA,58,0,NA,out,NA,NA,4.0,16.4,7.73,93.7,NA,NA,5.6,5,NA,NA,NA,1,bottom visible,"Clear, calm, water hazy, oil slick"
2021,12,4,12/4/2021,3,Transitional,"MW, DB, AJ",10:45:00 AM,L,0.21,0.0,03,,1003,0.38,NA,60,0,NA,out,NA,NA,3.0,16.1,7.95,98.4,NA,NA,4.6,4.2,NA,NA,NA,2,bottom visible,NA
2021,12,4,12/4/2021,4,Stable,"MW, DB, AJ",11:20:00 AM,J,0.10,0.0,04,,1004,0.44,NA,57,0,NA,out,NA,NA,NA,16.4,8.06,98.6,NA,NA,5.5,3.5,NA,NA,NA,NA,bottom visible,"partly cloudy, clear water, visible grass"
2021,12,4,12/4/2021,5,Stable,"MW, DB, AJ",11:50:00 AM,F,0.25,0.0,05,,1005,0.40,NA,59,0,NA,out,NA,NA,4.0,16.2,8.15,100.6,NA,NA,5.7,5.1,NA,NA,NA,1,bottom visible,"partly cloudy, seal nearby, bottom visible"
2021,12,4,12/4/2021,6,Stable,"MW, DB, AJ",12:15:00 PM,H,0.39,0.0,06,,1006,0.33,NA,59,0,NA,low tide,NA,NA,NA,16.7,8.41,103.9,NA,NA,3.4,3.1,NA,NA,NA,NA,bottom visible,"clear skies, clear water, epiphytic growth on seagrass, bubbles/churn"
2021,12,4,12/4/2021,7,Stable,"MW, DB, AJ",12:30:00 PM,D,0.23,0.0,07,,1007,0.31,NA,60,0,weak,NA,NA,NA,4.0,16.4,8.02,98.5,NA,NA,6.1,5.6,NA,NA,NA,2,bottom visible,"sunny, organic debris, trash, seagrass sparse"
2021,12,4,12/4/2021,8,Transitional,"MW, DB, AJ",12:47:00 PM,P,0.45,0.0,08,,1008,0.58,NA,60,0,NA,out,NA,NA,NA,16.4,8.46,101.6,NA,NA,9,8.1,NA,NA,NA,1,bottom visible,"sunny, slight breeze, bubbles, some organic debris"
2021,12,15,12/15/2021,1,Transitional,"MW, DB",9:03:00 AM,H,14.30,0.0,1,,1011,0.64,NA,43,0,NA,NA,NA,NA,7.0,13.5,7.91,90.8,7.00,0.06,9.8,9.5,<1,NA,NA,5,Air reading of 3712 recorded at first site,"Sunny clear skies, some organic debris, glassy"
2021,12,15,12/15/2021,2,Transitional,"MW, DB",10:00:00 AM,P,8.74,0.0,2,,1012,1.25,NA,43,0,Strong,Out,NA,NA,4.0,13.4,7.50,87.1,4.00,50.18,5.5,4.8,1.0,NA,NA,5,,"Sunny clear skies, some organic debris, glassy"
2021,12,15,12/15/2021,3,Transitional,"MW, DB",10:11:00 AM,L,9.41,0.0,3,,1013,1.11,NA,45,0,NA,NA,NA,NA,2.0,14.1,7.49,87.7,2.00,231.60,2.8,2.8,1.0,NA,NA,5,,Sunny clear skies
2021,12,15,12/15/2021,4,Stable,"MW, DB",10:50:00 AM,J,2.15,0.0,4,,1014,3.26,NA,NA,0,NA,NA,NA,NA,3.0,14.0,7.61,88.8,3.00,369.00,4.5,3.9,3.0,NA,NA,4,,"Slightly cloudy, no breeze, organic debris"
2021,12,15,12/15/2021,5,Stable,"MW, DB",11:10:00 AM,N,2.87,0.0,5,,1015,1.72,NA,NA,0,NA,NA,NA,NA,4.0,14.3,7.48,88.0,4.00,133.20,6,4.8,3.0,NA,NA,5,,NA
2021,12,15,12/15/2021,6,Stable,"MW, DB",11:38:00 AM,O,3.75,0.0,6,,1016,1.31,NA,NA,0,none,none,NA,NA,1.0,14.5,7.66,91.5,1.00,865.00,2.3,1.4,NA,NA,NA,4,,"Slightly cloudy, organic debris, faint oil slick, bottom visible"
2021,12,15,12/15/2021,7,Stable,"MW, DB",11:56:00 AM,D,2.02,0.0,7,,1017,0.91,NA,NA,0,NA,NA,NA,NA,4.0,14.3,7.27,87.1,4.00,310.10,5.6,4.9,3.0,NA,NA,4,,"Slightly cloudy, some organic debris, glassy"
2021,12,15,12/15/2021,8,Transitional,"MW, DB",12:15:00 PM,F,2.93,0.0,8,,1018,1.14,NA,NA,0,NA,NA,NA,NA,8.0,15.1,7.30,87.0,8.00,69.72,8.9,8.9,2.0,NA,NA,4,,"Slightly overcast, slight breeze"
2022,1,8,1/8/2022,1,Transitional,"AJ, HF",9:06:00 AM,O,1.36,0.0,1,,1021,1.45,calm,57,0,weak,outgoing,NA,NA,5.0,14.30,7.7,90.5,5.00,181.00,8.7,8.4,6.0,9:15:00 AM,NA,2,bottom visible,"Sunny clear skies, some organic debris, glassy Chlorophyll filters not folded in half when put into foil."
2022,1,8,1/8/2022,2,Transitional,"AJ, HF",9:35:00 AM,F,1.00,0.0,2,,1022,2.73,NA,NA,0,weak,outgoing,NA,NA,3.0,14.30,7.69,90.2,3.00,4.99,4.1,3.7,NA,9:44:00 AM,NA,2,bottom visible,"Sunny clear skies, some organic debris, glassy"
2022,1,8,1/8/2022,3,Transitional,"AJ, HF",10:15:00 AM,E,0.79,0.0,3,,1023,1.27,NA,NA,0,weak,outgoing,NA,NA,1.5,14.60,8.3,96.9,1.50,"1,086.00",2.7,NA,NA,10:19:00 AM,NA,2,bottom visible,"Sunny clear skies, some organic debris, glassy"
2022,1,8,1/8/2022,4,Stable,"AJ, HF",10:42:00 AM,J,1.27,0.0,4,,1024,0.00,NA,NA,0,weak,outgoing,NA,NA,3.0,14.60,8.95,105.8,3.00,881.00,4.3,4,NA,10:46:00 AM,NA,2,bottom visible,"Sunny clear skies, some organic debris, glassy"
2022,1,8,1/8/2022,5,Stable,"AJ, HF",11:00:00 AM,L,0.77,0.0,5,,1025,12.51,NA,NA,0,weak,outgoing,NA,NA,2.0,14.70,10.14,120.4,2.00,924.00,3.6,NA,NA,11:02:00 AM,NA,2,bottom visible,"Sunny clear skies, some organic debris, glassy"
2022,1,8,1/8/2022,6,Stable,"AJ, HF",11:22:00 AM,G,1.15,0.0,6,,1026,6.88,NA,NA,0,weak,outgoing,NA,NA,2.0,14.80,8.99,106.9,2.00,"1,072.00",3.7,2.9,NA,11:23:00 AM,NA,3,bottom visible,"Sunny clear skies, some organic debris, glassy"
2022,1,8,1/8/2022,7,Stable,"AJ, HF",11:35:00 AM,H,NA,0.0,7,,1027,5.92,NA,NA,0,weak,outgoing,NA,NA,7.0,14.50,8.43,99.6,7.00,214.00,8.7,8.3,8.0,11:38:00 AM,NA,4,bottom not visible,"Sunny clear skies, some organic debris, glassy"
2022,1,8,1/8/2022,8,Transitional,"AJ, HF",11:53:00 AM,M,0.22,0.0,8,,1028,2.30,NA,NA,0,weak,outgoing,NA,NA,9.0,14.60,8.55,101.1,9.00,532.00,10.5,NA,9.0,11:55:00 AM,NA,4,bottom not visible,"Sunny clear skies, some organic debris, glassy"
2022,1,16,1/16/2022,1,Transitional,"AJ, HF",7:45:00 AM,P,0.78,0.0,1,,1031,2.01,0,55,0,weak,outgoing,NA,NA,8.0,14.60,8.15,96.1,8.00,82.10,10.4,8.9,NA,7:53:00 AM,NA,4,bottom not visible,sunny clear skies
2022,1,16,1/16/2022,2,Transitional,"AJ, HF",8:10:00 AM,N,0.56,0.0,2,,1032,2.23,0,55,0,weak,outgoing,NA,NA,3.0,14.60,8.01,94.8,3.00,270.50,6.7,NA,NA,8:13:30 AM,NA,2,bottom visible,sunny clear skies
2022,1,16,1/16/2022,3,Transitional,"AJ, HF",8:36:00 AM,C,0.62,0.0,3,,1033,0.74,0,55,0,weak,outgoing,NA,NA,3.0,14.70,8.48,100.7,3.00,371.50,6.1,5.9,NA,8:39:40 AM,NA,2,bottom visible,sunny clear skies
2022,1,16,1/16/2022,4,Stable,"AJ, HF",9:03:00 AM,A,0.24,0.0,4,,1034,1.89,0,55,0,weak,outgoing,NA,NA,3.0,14.50,8.6,101.4,3.00,475.50,6.4,6,NA,9:06:10 AM,NA,1,"very clear water, bottom very visible",sunny clear skies
2022,1,16,1/16/2022,5,Stable,"AJ, HF",9:20:00 AM,D,0.06,0.0,5,,1035,0.22,0,55,0,weak,outgoing,NA,NA,3.0,14.50,8.67,102.1,3.00,788.10,5.8,5,NA,9:25:00 AM,NA,1,bottom visible,sunny clear skies
2022,1,16,1/16/2022,6,Stable,"AJ, HF",9:42:00 AM,B,0.23,0.0,6,,1036,1.41,0,55,0,weak,outgoing,NA,NA,3.0,14.60,8.27,97.6,3.00,635.10,6.2,5.5,NA,9:45:00 AM,NA,2,bottom visible,sunny clear skies
2022,1,16,1/16/2022,7,Stable,"AJ, HF",9:56:00 AM,H,NA,0.0,7,,1037,1.56,0,55,0,weak,outgoing,NA,NA,6.0,14.70,8,94.7,6.00,264.20,NA,8.6,NA,10:01:00 AM,NA,3,bottom not visible,sunny clear skies
2022,1,16,1/16/2022,8,Transitional,"AJ, HF",10:12:00 AM,K,0.41,0.0,8,,1038,1.41,0,55,0,weak,outgoing,NA,NA,9.0,14.70,8.2,95.25,9.00,238.90,12.8,12,10.0,10:16:00 AM,NA,3,bottom not visible,sunny clear skies
2022,1,23,1/23/2022,1,Transitional,"AJ, DB",8:14:00 AM,1,0.47,0.0,1,,1041,1.53,0,55,0,weak,incoming,NA,NA,6.0,14.20,8.45,100.5,6.00,161.30,7,NA,6.0,8:17:00 AM,,3,water flat/ calm,
2022,1,23,1/23/2022,2,Transitional,"AJ, DB",NA,2,0.68,0.0,2,,1042,1.45,0,55,0,weak,incoming,NA,NA,4.0,14.10,8.17,95.7,3.00,352.50,4.6,4.4,NA,8:34:00 AM,,2,,
2022,1,23,1/23/2022,3,Transitional,"AJ, DB",NA,3,0.52,0.0,3,,1043,1.09,0,55,0,weak,incoming,NA,NA,2.0,14.40,8.63,98.3,2.00,645.00,4.5,3.9,NA,9:00:00 AM,,2,,
2022,1,23,1/23/2022,4,Stable,"AJ, DB",NA,4,0.39,0.0,4,,1044,1.10,0,55,0,weak,incoming,NA,NA,3.0,14.20,8.19,95.6,3.00,723.20,4.6,4.7,2.0,9:27:00 AM,,1,,
2022,1,23,1/23/2022,5,Stable,"AJ, DB",NA,5,0.22,0.0,5,,1045,0.92,0,55,0,weak,incoming,NA,NA,6.0,14.10,8.22,96.3,6.00,625.30,7.1,7.5,NA,9:43:00 AM,,1,,
2022,1,23,1/23/2022,6,Stable,"AJ, DB",NA,6,0.68,0.0,6,,1046,0.93,0,55,0,weak,incoming,NA,NA,4.0,14.50,8.59,101.2,3.00,755.40,5.8,5,NA,10:11:00 AM,,3,,mixed up bottom depth/ veg depth on data sheet- fixed here
2022,1,23,1/23/2022,7,Stable,"AJ, DB",NA,7,0.45,0.0,7,,1047,0.78,0,55,0,weak,incoming,NA,NA,6.0,14.40,8.23,97.0,6.00,646.50,7.7,7.4,NA,10:26:00 AM,,2,,
2022,1,23,1/23/2022,8,Transitional,"AJ, DB",NA,8,0.46,0.0,8,,1048,0.86,0,55,0,weak,incoming,NA,NA,10.0,14.40,8.82,104.2,10.00,386.20,11.4,10.9,9.0,10:43:00 AM,,1,,
2022,2,5,2/5/2022,1,Transitional,"HF, NC",9:35:00 AM,1,0.07,0.0,1,,1051,0.63,2,65,0,weak,incoming,15.10,33.10,9.5,14.3,8.29,99.2,9.50,NA,9.8,9.4,NA,NA,NA,3,"PAR sensor assembled incoorectly, throw out data",
2022,2,5,2/5/2022,2,Transitional,"HF, NC",10:30:00 AM,2,0.58,0.0,2,,1052,0.72,2,65,0,weak,incoming,14.20,33.60,4.0,14.1,8.16,97.7,4.00,NA,5.8,NA,NA,NA,NA,3,"PAR sensor assembled incoorectly, throw out data",
2022,2,5,2/5/2022,3,Transitional,"HF, NC",11:05:00 AM,3,0.15,0.0,3,,1053,0.18,2,65,0,weak,incoming,14.30,33.90,4.0,14.4,8.52,103,3.00,NA,6.2,NA,NA,NA,NA,2,"PAR sensor assembled incoorectly, throw out data",
2022,2,5,2/5/2022,4,Stable,"HF, NC",11:30:00 AM,4,0.24,0.0,4,,1054,0.56,2,65,0,weak,incoming,14.90,34.10,3.5,14.7,9.15,109.1,3.00,NA,6.4,5,NA,NA,NA,1,"PAR sensor assembled incoorectly, throw out data",
2022,2,5,2/5/2022,5,Stable,"HF, NC",11:50:00 AM,5,0.15,0.0,5,,1055,0.77,2,65,0,weak,incoming,15.30,34.10,3.5,14.8,9.65,117.1,3.50,NA,7.3,6.7,NA,NA,NA,1,"PAR sensor assembled incoorectly, throw out data",
2022,2,5,2/5/2022,6,Stable,"HF, NC",12:20:00 PM,6,0.27,0.0,6,,1056,0.57,2,65,0,weak,incoming,15.70,34.10,3.0,14.8,8.56,103.9,3.00,NA,6.2,5.7,NA,NA,NA,2,"PAR sensor assembled incoorectly, throw out data",
2022,2,5,2/5/2022,7,Stable,"HF, NC",12:35:00 PM,7,0.54,0.0,7,,1057,0.61,2,65,0,weak,incoming,15.80,34.00,4.5,14.6,8.75,105.5,4.50,NA,9.6,9.3,NA,NA,NA,2,"PAR sensor assembled incoorectly, throw out data",
2022,2,5,2/5/2022,8,Transitional,"HF, NC",12:55:00 PM,8,0.65,0.0,8,,1058,0.71,2,65,0,weak,incoming,15.60,33.60,5.0,14.6,8.31,100.1,5.00,NA,11.3,10.5,NA,NA,NA,3,"PAR sensor assembled incoorectly, throw out data",One filter may be 150mL
2022,2,20,2/20/2022,1,Transitional,"MW, JP",8:40:00 PM,11,0.75,0.0,1a,1b,1061,2.01,1,59,0,weak,incoming,NA,33.20,6.0,15.8,7.56,92.9,6.00,NA,8.3,6.2,8.5,NA,NA,4,Cloud cover 70%,"Missed pen temp. for this site, NOAA lacked avg temp for the 20th so I was forced to make do with wunderground.com"
2022,2,20,2/20/2022,2,Transitional,"MW, JP",8:55:00 PM,16,NA,0.0,2a,2b,1062,1.36,1,59,0,weak,incoming,15.60,33.70,5.0,15.8,7.75,96.2,5.00,NA,4.3,NA,NA,NA,NA,4,Cloud cover 85%,only managed to filter 80ml for filter 2b
2022,2,20,2/20/2022,3,Transitional,"MW, JP",9:27:00 PM,12,0.48,0.0,3a,3b,1063,0.85,1,60,0,weak,incoming,15.80,33.80,3.0,15.5,7.88,97.1,3.00,NA,3.8,NA,NA,NA,NA,3,grass is visibly sparse,
2022,2,20,2/20/2022,4,Stable,"MW, JP",9:50:00 PM,17,NA,0.0,4a,4b,1064,1.92,1,61,0,moderate,incoming,15.60,34.20,6.5,15.1,8.34,102.1,5.50,NA,7.2,6.8,NA,NA,NA,2,"Bottle knocked over when leaving sites, only managed 40mL for filter 2b",
2022,2,20,2/20/2022,5,Stable,"MW, JP",10:10:00 PM,13,0.01,0.0,5a,5b,1065,2.29,1,62,0,weak,incoming,15.70,34.00,7.0,15.1,8.86,106.4,7.00,NA,8.6,7.5,NA,NA,NA,1,Cloud cover 30%,
2022,2,20,2/20/2022,6,Stable,"MW, JP",10:32:00 AM,14,0.48,0.0,6a,6b,1066,0.79,1,63,0,none,incoming,15.70,33.90,4.0,15.5,8.08,98.7,3.50,NA,5.4,4.6,NA,NA,NA,2,No cloud cover past this point,
2022,2,20,2/20/2022,7,Stable,"MW, JP",10:45:00 PM,15,0.54,0.0,7a,7b,1067,0.85,1,64,0,none,incoming,15.90,33.70,7.0,15.4,8.01,98.0,7.00,NA,8.3,7.4,NA,NA,NA,2,Heavy oil film,
2022,2,20,2/20/2022,8,Transitional,"MW, JP",11:00:00 PM,18,0.64,0.0,8a,8b,1068,1.35,1,64,0,weak,incoming,15.90,33.80,10.0,15.6,8.17,100.4,10.00,NA,11.1,10,11.0,NA,NA,3,marks on cable of the PAR sensor only extends to 10 ft. as such depth recorded for the YSI is largely an estimate,Noted growing presence of algal matts around floating docks
2022,2,26,2/26/2022,1,Transitional,"DB, PS",8:20:00 AM,1,1.69,0.0,1a,1b,1071,1.41,0,50,0,none,outgoing,14.10,33.30,4.0,14.2,7.82,91.9,4.00,437.10,5.9,5.1,NA,8:41:00 AM,8:42:00 AM,3,"calm, sunny",
2022,2,26,2/26/2022,2,Transitional,"DB, PS",8:51:00 AM,2,0.88,0.0,2a,2b,1072,1.43,0,50,0,none,outgoing,14.60,33.50,4.0,14.4,7.63,91.1,4.00,674.00,5.4,5.1,NA,9:01:00 AM,9:03:00 AM,2,"calm, sunny",bubbles
2022,2,26,2/26/2022,3,Transitional,"DB, PS",9:30:00 AM,3,1.37,0.0,3a,3b,1073,0.84,0,50,0,none,outgoing,14.30,33.80,4.5,14.3,7.87,94.0,4.00,779.00,5.9,5.5,NA,9:32:00 AM,9:34:00 AM,2,"calm, sunny",sunny clear day
2022,2,26,2/26/2022,4,Stable,"DB, PS",10:15:00 AM,4,0.75,0.0,4a,4b,1074,0.72,0,50,0,none,outgoing,14.50,33.70,6.0,14.4,7.96,95.5,4.50,"1,034.00",7.5,NA,NA,10:22:00 AM,10:24:00 AM,2,"calm, sunny",
2022,2,26,2/26/2022,5,Stable,"DB, PS",10:00:00 AM,5,0.23,0.0,5a,5b,1075,0.74,0,50,0,none,outgoing,14.00,34.00,4.0,13.9,8.4,99.5,6.00,950.00,5.0,4.6,NA,10:01:00 AM,10:03:00 AM,1,"calm, sunny","very clear water, sampled 5 before 4 if you're confused about the times"
2022,2,26,2/26/2022,6,Stable,"DB, PS",10:32:00 AM,6,0.35,0.0,6a,6b,1076,0.83,0,50,0,none,outgoing,15.70,33.40,1.5,15.7,8.24,98.4,4.00,"1,451.00",3.7,3.2,NA,10:42:00 AM,10:43:00 AM,3,"calm, sunny","bubbles, very low tide; boat came through at 10:34 churned up water, but settled quickly"
2022,2,26,2/26/2022,7,Stable,"DB, PS",10:50:00 AM,7,0.59,0.0,7a,7b,1077,0.82,0,50,0,none,outgoing,14.80,33.70,2.0,14.6,8.21,97.7,1.50,"1,250.10",3.1,2.6,NA,10:57:00 AM,10:58:00 AM,2,"calm, sunny","bubbles, organic debris, trash; sulfur/ sewage smell present"
2022,2,26,2/26/2022,8,Transitional,"DB, PS",11:10:00 AM,8,0.72,0.0,8a,8b,1078,0.87,0,50,0,none,outgoing,15.20,33.70,6.0,14.5,8.15,97.6,2.00,872.00,7.9,6.8,NA,11:12:00 AM,11:13:00 AM,2,"calm, sunny","very calm still, sunny"
2022,3,6,3/6/2022,1,Transitional,"MW, BH",9:08:00 AM,F,1.21,0.0,1a,1b,1081,1.67,2,,0,weak,incoming,15.50,33.70,6.0,15.4,8.18,100.1,6.00,720.00,7.0,6,NA,,9:19:00 AM,3,No cloud cover during sampling,
2022,3,6,3/6/2022,2,Transitional,"MW, BH",9:40:00 AM,J,1.06,0.0,2a,2b,1082,2.16,1,,0,weak,incoming,15.10,34.10,5.0,15.3,8.6,102.4,5.00,"1,073.00",6,5.5,NA,9:40:00 AM,9:52:00 AM,3,,