Sample_ID,N/NN,PlantSP,count,code,species,genus,family,order,class,Size_mm
NN_RHAIND_1,NN,RHAIND,2,AA,UK,UK,ASIOPSOCIDAE,Psocoptera,Insecta,1.5
NN_RHAIND_1,NN,RHAIND,1,AB,UK,Brachymyrmex,FORMICIDAE,Hymenoptera,Insecta,1
NN_RHAIND_2,NN,RHAIND,1,AC,UK,UK,ENTOMOBRYIDAE,Entognatha,Entomobryomorpha,1
NN_RHAIND_2,NN,RHAIND,2,AD,UK,UK,UK,Coleoptera,Insecta,1.5
NN_RHAIND_2,NN,RHAIND,3,AA,UK,UK,ASIOPSOCIDAE,Psocoptera,Insecta,1.5
NN_CISPUR_1,NN,CISPUR,1,AE,UK,UK,Aphididae,Hemiptera,Insecta,2
NN_CISPUR_1,NN,CISPUR,1,AF,UK,UK,Aphididae,Hemiptera,Insecta,1.5
NN_CISPUR_1,NN,CISPUR,1,UR Spider,UK,UK,UK,Araneae,Arachnida,varies
NN_CISPUR_1,NN,CISPUR,1,AG,UK,UK,MIRIDAE,Hemiptera,Insecta,5
NN_CISPUR_2,NN,CISPUR,1,AH,Hippodamia tredecimpunctata,Hippodamia,COCCINELLIDAE,Coleoptera,Insecta,6
NN_CISPUR_2,NN,CISPUR,2,AG,UK,UK,MIRIDAE,Hemiptera,Insecta,5
NN_CISPUR_2,NN,CISPUR,1,AI,UK,UK,THRIPIDAE,Thysanoptera,Insecta,1
NN_LAVGIN_2,NN,LAVGIN,1,AE,UK,UK,Aphididae,Hemiptera,Insecta,2
NN_LAVGIN_2,NN,LAVGIN,2,BL,UK,UK,Aphididae,Hemiptera,Insecta,2
NATIVE_ENCCLA_2,N,ENCCLA,2,AJ,UK,Myrmecocystus,FORMICIDAE,Hymenoptera,Insecta,3
NATIVE_ENCCLA_2,N,ENCCLA,1,AA,UK,UK,ASIOPSOCIDAE,Psocoptera,Insecta,1.5
NATIVE_ENCCLA_2,N,ENCCLA,1,AH,Hippodamia tredecimpunctata,Hippodamia,COCCINELLIDAE,Coleoptera,Insecta,6
NATIVE_ENCCLA_2,N,ENCCLA,1,AK,UK,UK,THRIPIDAE,Thysanoptera,Insecta,2
NATIVE_ENCCLA_2,N,ENCCLA,2,AL,UK,UK,BOSTRICHIDAE,Coleoptera,Insecta,1.5
NATIVE_ENCCLA_1,N,ENCCLA,1,AM,UK,UK,COCCINELLIDAE,Coleoptera,Insecta,varies
NATIVE_ENCCLA_1,N,ENCCLA,4,AL,UK,UK,BOSTRICHIDAE,Coleoptera,Insecta,1.5
NATIVE_ENCCLA_1,N,ENCCLA,1,AN,UK,UK,SCUTELLERIDAE,Hemiptera,Insecta,3
NATIVE_ENCCLA_1,N,ENCCLA,1,AO,UK,UK,UK,Orthoptera,Insecta,NA
NATIVE_ENCCLA_1,N,ENCCLA,1,UR COLEOPTERA,UK,UK,UK,Coleoptera,Insecta,varies
NATIVE_ENCCLA_1,N,ENCCLA,1,UR WASP,UK,UK,UK,Hymenoptera,Insecta,varies
NATIVE_ENCCLA_1,N,ENCCLA,1,AP,UK,Geocaris sp.,GEOCORIDAE,Hemiptera,Insecta,2
NATIVE_ENCCLA_1,N,ENCCLA,1,AQ,UK,UK,TENEBRIONIDAE,Coleoptera,Insecta,1.5
NN_SALGRE_1,NN,SALGRE,1,AR,UK,UK,THERIDIIDAE,Araneae,Arachnida,5
NN_SALGRE_1,NN,SALGRE,1,AM,UK,UK,COCCINELLIDAE,Coleoptera,Insecta,varies
NN_SALGRE_1,NN,SALGRE,1,AH,Hippodamia tredecimpunctata,Hippodamia,COCCINELLIDAE,Coleoptera,Insecta,6
NN_SALGRE_1,NN,SALGRE,1,AS,UK,UK,LYGAEIDAE,Hemiptera,Insecta,5
NN_SALGRE_1,NN,SALGRE,2,AT,UK,UK,UK,LEPIDOPTERA,Insecta,3 to 5
NN_SALGRE_1,NN,SALGRE,8,AE,UK,UK,Aphididae,Hemiptera,Insecta,2
NN_SALGRE_1,NN,SALGRE,3,AI,UK,UK,THRIPIDAE,Thysanoptera,Insecta,1
NN_SALGRE_1,NN,SALGRE,1,AU,UK,UK,CICADELLIDAE,Hemiptera,Insecta,2
NN_SALGRE_1,NN,SALGRE,2,AV,UK,UK,CICADELLIDAE,Hemiptera,Insecta,1.5
NN_SALGRE_1,NN,SALGRE,6,AW,UK,UK,CICADELLIDAE,Hemiptera,Insecta,2.5
NN_SALGRE_1,NN,SALGRE,2,AA,UK,UK,ASIOPSOCIDAE,Psocoptera,Insecta,1.5
NN_SALGRE_1,NN,SALGRE,1,UR Spider,UK,UK,UK,Araneae,Arachnida,varies
NN_SALGRE_1,NN,SALGRE,1,AX,UK,UK,UK,Coleoptera,Insecta,2.5
NN_SALGRE_1,NN,SALGRE,1,AY,UK,UK,ICHNEUMONIDAE,Hymenoptera,Insecta,1.5
NN_SALGRE_1,NN,SALGRE,1,AZ,UK,UK,TROGIIDAE/LIPOSCELIDAE,Psocoptera,Insecta,1
NN_SALGRE_2,NN,SALGRE,1,BA,UK,UK,PENTATOMIDAE,Hemiptera,Insecta,10
NN_SALGRE_2,NN,SALGRE,3,AT,UK,UK,UK,LEPIDOPTERA,Insecta,3 to 5
NN_SALGRE_2,NN,SALGRE,1,AE,UK,UK,Aphididae,Hemiptera,Insecta,2
NATIVE_SALCLE_1,N,SALCLE,1,AT,UK,UK,UK,LEPIDOPTERA,Insecta,3 to 5
NATIVE_SALCLE_1,N,SALCLE,5,AE,UK,UK,Aphididae,Hemiptera,Insecta,2
NATIVE_SALCLE_1,N,SALCLE,6,AW,UK,UK,CICADELLIDAE,Hemiptera,Insecta,2.5
NATIVE_SALCLE_1,N,SALCLE,2,BB,UK,UK,MIRIDAE,Hemiptera,Insecta,2.5
NATIVE_SALCLE_1,N,SALCLE,1,BC,UK,UK,COCCINELLIDAE,Coleoptera,Insecta,2
NATIVE_SALCLE_1,N,SALCLE,1,BD,UK,UK,COCCINELLIDAE,Coleoptera,Insecta,5
NATIVE_SALCLE_1,N,SALCLE,1,BE,UK,UK,COCCINELLIDAE,Coleoptera,Insecta,6
NATIVE_SALCLE_1,N,SALCLE,2,AI,UK,UK,THRIPIDAE,Thysanoptera,Insecta,1
NATIVE_SALCLE_1,N,SALCLE,1,UR CICADA NYMPH,UK,UK,CICADELLIDAE,Hemiptera,Insecta,varies
NATIVE_SALCLE_1,N,SALCLE,1,AL,UK,UK,BOSTRICHIDAE,Coleoptera,Insecta,1.5
NATIVE_SALCLE_1,N,SALCLE,1,BF,UK,UK,BIBIONIDAE,Diptera,Insecta,5
NATIVE_SALCLE_1,N,SALCLE,1,AY,UK,UK,ICHNEUMONIDAE,Hymenoptera,Insecta,1.5
NATIVE_SALCLE_2,N,SALCLE,4,BG,UK,UK,COCCINELLIDAE,Coleoptera,Insecta,5 TO 10
NATIVE_SALCLE_2,N,SALCLE,8,AE,UK,UK,Aphididae,Hemiptera,Insecta,2
NATIVE_SALCLE_2,N,SALCLE,8,AW,UK,UK,CICADELLIDAE,Hemiptera,Insecta,2.5
NATIVE_SALCLE_2,N,SALCLE,2,AY,UK,UK,ICHNEUMONIDAE,Hymenoptera,Insecta,1.5
NATIVE_SALCLE_2,N,SALCLE,1,UR CICADA,UK,UK,CICADELLIDAE,Hemiptera,Insecta,varies
NATIVE_SALCLE_2,N,SALCLE,1,BH,UK,UK,MIRIDAE,Hemiptera,Insecta,2.5
NATIVE_SALAPI_1,N,SALAPI,1,BG,UK,UK,COCCINELLIDAE,Coleoptera,Insecta,5 TO 10
NATIVE_SALAPI_1,N,SALAPI,14,AW,UK,UK,CICADELLIDAE,Hemiptera,Insecta,2.5
NATIVE_SALAPI_1,N,SALAPI,1,AA,UK,UK,ASIOPSOCIDAE,Psocoptera,Insecta,1.5
NATIVE_SALAPI_1,N,SALAPI,1,AE,UK,UK,Aphididae,Hemiptera,Insecta,2
NATIVE_SALAPI_1,N,SALAPI,2,UR insect,UK,UK,UK,UK,Insecta,Varies
NATIVE_SALAPI_1,N,SALAPI,2,UR aphid,UK,UK,Aphididae,Hemiptera,Insecta,varies
NATIVE_SALAPI_1,N,SALAPI,1,BI,UK,Geocaris sp.,GEOCORIDAE,Hemiptera,Insecta,2
NATIVE_SALAPI_1,N,SALAPI,1,BJ,UK,UK,UK,SC Acari,Arachnida,0.5
NATIVE_SALAPI_2,N,SALAPI,2,UR aphid,UK,UK,Aphididae,Hemiptera,Insecta,varies
NATIVE_SALAPI_2,N,SALAPI,2,UR insect,UK,UK,UK,UK,Insecta,Varies
NATIVE_SALAPI_2,N,SALAPI,1,BK,UK,UK,BRUCHIDAE,Coleoptera,Insecta,2
NN_PERATR_1,NN,PERATR,13,AW,UK,UK,CICADELLIDAE,Hemiptera,Insecta,2.5
NN_PERATR_1,NN,PERATR,1,AU,UK,UK,CICADELLIDAE,Hemiptera,Insecta,2
NN_PERATR_1,NN,PERATR,2,AY,UK,UK,ICHNEUMONIDAE,Hymenoptera,Insecta,1.5
NN_PERATR_1,NN,PERATR,6,BL,UK,UK,Aphididae,Hemiptera,Insecta,2
NN_PERATR_1,NN,PERATR,1,BM,UK,UK,Aphididae,Hemiptera,Insecta,3.5
NN_PERATR_1,NN,PERATR,3,AE,UK,UK,Aphididae,Hemiptera,Insecta,2
NN_PERATR_1,NN,PERATR,1,BN,UK,UK,CICADELLIDAE,Hemiptera,Insecta,3
NN_PERATR_1,NN,PERATR,1,BO,UK,UK,SCIARIDAE,Diptera,Insecta,2
NN_PERATR_1,NN,PERATR,1,AC,UK,UK,ENTOMOBRYIDAE,Entognatha,Entomobryomorpha,1
NN_PERATR_2,NN,PERATR,14,AW,UK,UK,CICADELLIDAE,Hemiptera,Insecta,2.5
NN_PERATR_2,NN,PERATR,3,AV,UK,UK,CICADELLIDAE,Hemiptera,Insecta,1.5
NN_PERATR_2,NN,PERATR,1,AL,UK,UK,BOSTRICHIDAE,Coleoptera,Insecta,1.5
NN_PERATR_2,NN,PERATR,1,BP,UK,UK,UK,LEPIDOPTERA,Insecta,4
NATIVE_EPICAN_1,N,EPICAN,1,AW,UK,UK,CICADELLIDAE,Hemiptera,Insecta,2.5
NATIVE_EPICAN_1,N,EPICAN,1,AE,UK,UK,Aphididae,Hemiptera,Insecta,2
NATIVE_EPICAN_1,N,EPICAN,1,AY,UK,UK,ICHNEUMONIDAE,Hymenoptera,Insecta,1.5
NATIVE_EPICAN_1,N,EPICAN,1,UR insect,UK,UK,UK,UK,Insecta,Varies
NATIVE_EPICAN_1,N,EPICAN,2,BQ,UK,UK,UK,Araneae,Arachnida,1
NATIVE_EPICAN_2,N,EPICAN,5,AW,UK,UK,CICADELLIDAE,Hemiptera,Insecta,2.5
NATIVE_EPICAN_2,N,EPICAN,2,AY,UK,UK,ICHNEUMONIDAE,Hymenoptera,Insecta,1.5
NATIVE_EPICAN_2,N,EPICAN,2,BR,UK,UK,SPHINGIDAE,LEPIDOPTERA,Insecta,varies
NATIVE_ERIFAS_1,N,ERIFAS,1,AE,UK,UK,Aphididae,Hemiptera,Insecta,2
NATIVE_ERIFAS_1,N,ERIFAS,1,BS,UK,UK,UK,Diptera,Insecta,varies
